Identifier	Character	Dialogue	Filename	Line Number
		Eileen	game/demo_character.rpy	6
demo_character_16897d85	e	The Character object is used to declare characters, and it can also be used to customize the way in which a character speaks.	game/demo_character.rpy	45
demo_character_7ad48073	e	By supplying it with the appropriate arguments, we can really change around the feel of the game.	game/demo_character.rpy	47
demo_character_6fc5bef5	e	In this section, we'll demonstrate some of what can be accomplished by customizing character objects.	game/demo_character.rpy	49
demo_character_2edcd1df	equote	By supplying what_prefix and what_suffix arguments to a Character object, we can automatically add things before each line of text.	game/demo_character.rpy	51
demo_character_3ba649df	equote	This is a lot easier than having to put those quotes in by hand.	game/demo_character.rpy	53
demo_character_48dc5333	equote	We can also use who_prefix and who_suffix to add text to the name of the speaker.	game/demo_character.rpy	55
demo_character_77ce5256	e	We can also supply arguments to the Character object that customize the look of the character name, the text that is being said, and the window itself.	game/demo_character.rpy	57
demo_character_fceb39fb	eweird	These can really change the look of the game.	game/demo_character.rpy	59
demo_character_92ae524c	eside	A more practical use of that is in conjunction with show_side_image, which lets us position an image next to the text.	game/demo_character.rpy	61
demo_character_ba09ee13	etwo	There's also show_two_window, which puts the character's name in its own window.	game/demo_character.rpy	63
demo_character_91f8f1cc	ectc	Finally, we demonstrate a click to continue indicator. In this example, it's nestled in with the text.	game/demo_character.rpy	65
demo_character_90e5383f	ectcf	A click to continue image can also be placed at a fixed location on the screen.	game/demo_character.rpy	67
demo_character_4a210bad	e	There's a lot more you can do with Character, as it lets you set style properties on all of the displayed text.	game/demo_character.rpy	69
demo_character_0393756f	e	Finally, let me point out a couple of special characters we pre-define.	game/demo_character.rpy	71
demo_character_29688b7c	centered	The \"centered\" character shows text at the center of the screen, without a window.	game/demo_character.rpy	76
demo_character_496243d7	centered	It's just a highly customized normal character, that's useful for dates and titles.	game/demo_character.rpy	78
demo_character_e79e9042	e	The \"extend\" character is very special.	game/demo_character.rpy	83
demo_character_0b55b872	e	It lets you	game/demo_character.rpy	85
demo_character_7c80c8fc	extend	 extend the previous dialogue	game/demo_character.rpy	89
demo_character_645bb443	extend	 with additional text.	game/demo_character.rpy	93
demo_character_170d938b	e	That lets you have things happen in the middle of text. If you didn't notice, I was changing my expression.	game/demo_character.rpy	95
demo_character_4adb20a9	e	Hopefully, these characters, along with the ones you define, will lead to a very expressive game.	game/demo_character.rpy	97
		Start Game	game/screens.rpy	194
		Load Game	game/screens.rpy	195
		Preferences	game/screens.rpy	196
		Help	game/screens.rpy	197
		Save Game	game/screens.rpy	230
		Main Menu	game/screens.rpy	232
		Previous	game/screens.rpy	266
		Auto	game/screens.rpy	269
		Quick	game/screens.rpy	272
		Next	game/screens.rpy	279
		Empty Slot.	game/screens.rpy	305
		Display	game/screens.rpy	361
		Window	game/screens.rpy	362
		Transitions	game/screens.rpy	369
		All	game/screens.rpy	370
		None	game/screens.rpy	371
		Text Speed	game/screens.rpy	377
		Joystick...	game/screens.rpy	384
		Language	game/screens.rpy	391
		Skip	game/screens.rpy	406
		Seen Messages	game/screens.rpy	407
		All Messages	game/screens.rpy	408
		Begin Skipping	game/screens.rpy	414
		After Choices	game/screens.rpy	420
		Stop Skipping	game/screens.rpy	421
		Keep Skipping	game/screens.rpy	422
		Auto-Forward Time	game/screens.rpy	428
		Wait for Voice	game/screens.rpy	432
		Music Volume	game/screens.rpy	439
		Sound Volume	game/screens.rpy	446
		Test	game/screens.rpy	450
		Voice Volume	game/screens.rpy	459
		Voice Sustain	game/screens.rpy	462
		Yes	game/screens.rpy	523
		No	game/screens.rpy	524
		Back	game/screens.rpy	552
		Save	game/screens.rpy	553
		Q.Save	game/screens.rpy	554
		Q.Load	game/screens.rpy	555
		F.Skip	game/screens.rpy	557
		Prefs	game/screens.rpy	559
demo_text_ff47a1f2	e	Ren'Py gives you quite a bit of control over how text appears.	game/demo_text.rpy	65
demo_text_ab9b2f08	e	Text tags let us control the appearance of text that is shown to the user.	game/demo_text.rpy	67
demo_text_12663c84	e	Text tags can make text bold, italic, struckthrough, or underlined.	game/demo_text.rpy	69
demo_text_bdfcba5a	e	They can make the font size bigger or smaller.	game/demo_text.rpy	71
demo_text_4230bb93	e	They let you pause the display of the text, optionally withline breaks.	game/demo_text.rpy	73
